Pub_year,Title,DOI,subject,top5_keywords
1983.0,nonlinear field theory of large spin heisenberg antiferromagnets semiclassically quantized solitons of the one dimensional easy axis neel state,https://doi.org/10.1103/PhysRevLett.50.1153,Physics,neel easy solitons semiclassically antiferromagnets quantized nonlinear heisenberg axis spin
1998.0,evidence for oscillation of atmospheric neutrinos,https://doi.org/10.1103/PhysRevLett.81.1562,Physics,oscillation atmospheric neutrinos evidence
2002.0,direct evidence for neutrino flavor transformation from neutral current interactions in the sudbury neutrino observatory,https://doi.org/10.1103/PhysRevLett.89.011301,Physics,neutrino flavor sudbury observatory neutral direct transformation current interactions evidence
2001.0,measurement of the rate of ve d p p e interactions produced by 8b solar neutrinos at the sudbury neutrino observatory,https://doi.org/10.1103/PhysRevLett.87.071301,Physics,8b ve sudbury observatory solar measurement neutrino neutrinos rate interactions
1989.0,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,https://doi.org/10.1143/JJAP.28.L2112,Physics,leebi gan irradiation mg doped conduction treated beam type energy
1989.0,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,https://doi.org/10.1143/JJAP.28.L2112,Physics,leebi gan irradiation mg doped conduction treated beam type energy
1964.0,broken symmetry and the mass of gauge vector mesons,https://doi.org/10.1103/PhysRevLett.13.321,Physics,broken mesons symmetry gauge vector mass
1964.0,broken symmetries massless particles and gauge fields,https://doi.org/10.1016/0031-9163(64)91136-9,Physics,massless symmetries broken gauge fields particles
1964.0,broken symmetries and the masses of gauge bosons,https://doi.org/10.1103/PhysRevLett.13.508,Physics,bosons masses symmetries broken gauge
1996.0,quantum rabi oscillation a direct test of field quantization in a cavity,https://doi.org/10.1103/PhysRevLett.76.1800,Physics,rabi cavity quantization oscillation test direct field quantum
1996.0,observing the progressive decoherence of the meter in a quantum measurement,https://doi.org/10.1103/PhysRevLett.77.4887,Physics,meter progressive decoherence observing measurement quantum
1995.0,demonstration of a fundamental quantum logic gate,https://doi.org/10.1103/PhysRevLett.75.4714,Physics,gate logic demonstration fundamental quantum
1996.0,generation of nonclassical motional states of a trapped atom,https://doi.org/10.1103/PhysRevLett.76.1796,Physics,nonclassical motional trapped generation atom states
1960.0,quasi particles and gauge invariance in the theory of superconductivity,https://doi.org/10.1103/PhysRev.117.648,Physics,invariance quasi superconductivity gauge particles
1961.0,dynamical model of elementary particles based on an analogy with superconductivity ii,https://doi.org/10.1103/PhysRev.122.345,Physics,analogy elementary dynamical superconductivity based model particles ii
1960.0,axial vector current conservation in weak interactions,https://doi.org/10.1103/PhysRevLett.4.380,Physics,axial conservation vector weak interactions current
1973.0,cp violation in the renormalizable theory of weak interaction,https://doi.org/10.1143/PTP.49.652,Physics,violation cp renormalizable weak interaction
1973.0,cp violation in the renormalizable theory of weak interaction,https://doi.org/10.1143/PTP.49.652,Physics,violation cp renormalizable weak interaction
1988.0,giant magnetoresistance of 001 fe 001 cr magnetic superlattices,https://doi.org/10.1103/PhysRevLett.61.2472,Physics,001 magnetoresistance superlattices fe cr giant magnetic
1986.0,layered magnetic structures evidence for antiferromagnetic coupling of fe layers across cr interlayers,https://doi.org/10.1103/PhysRevLett.57.2442,Physics,interlayers layered antiferromagnetic fe cr coupling across layers structures magnetic
1963.0,coherent and incoherent states of the radiation field,https://doi.org/10.1103/PhysRev.131.2766,Physics,incoherent coherent states radiation field
1963.0,the quantum theory of optical coherence,https://doi.org/10.1103/PhysRev.130.2529,Physics,coherence optical quantum
2000.0,direct link between microwave and optical frequencies with a 300 thz femtosecond laser comb,https://doi.org/10.1103/PhysRevLett.84.5102,Physics,comb thz link 300 femtosecond frequencies microwave direct laser optical
2000.0,direct link between microwave and optical frequencies with a 300 thz femtosecond laser comb,https://doi.org/10.1103/PhysRevLett.84.5102,Physics,comb thz link 300 femtosecond frequencies microwave direct laser optical
1973.0,ultraviolet behavior of non abelian gauge theories,https://doi.org/10.1103/PhysRevLett.30.1343,Physics,abelian ultraviolet theories gauge behavior non
1973.0,ultraviolet behavior of non abelian gauge theories,https://doi.org/10.1103/PhysRevLett.30.1343,Physics,abelian ultraviolet theories gauge behavior non
