LaureateID,LaureateName,LaureateName0,prize_year,prize_pubyear,first_pub_year,award_gap,study_year,photo_link
20163,"rutherford, e",Ernest Rutherford,1908,1902,1902,6,6,https://www.nobelprize.org/images/rutherford-12860-portrait-small.jpg
20162,victor grignard,Victor Grignard,1912,1900,1900,12,12,https://www.nobelprize.org/images/grignard-12885-portrait-small.jpg
20161,"richards, t",Theodore W. Richards,1914,1903,1892,11,22,https://www.nobelprize.org/images/richards-12896-portrait-small.jpg
20160,"willstatter, r",Richard Willstätter,1915,1913,1913,2,2,https://www.nobelprize.org/images/willstatter-12899-portrait-small.jpg
20159,"haber, f",Fritz Haber,1918,1913,1908,5,10,https://www.nobelprize.org/images/haber-12908-portrait-small.jpg
20158,"nernst, w",Walther Nernst,1920,1911,1911,9,9,https://www.nobelprize.org/images/nernst-12914-portrait-small.jpg
20157,"soddy, f",Frederick Soddy,1921,1915,1902,6,19,https://www.nobelprize.org/images/soddy-12919-portrait-small.jpg
20156,"aston, f",Francis W. Aston,1922,1919,1919,3,3,https://www.nobelprize.org/images/aston-12924-portrait-small.jpg
20155,fritz pregl,Fritz Pregl,1923,1905,1899,18,24,https://www.nobelprize.org/images/pregl-12930-portrait-small.jpg
20154,"zsigmondy, r",Richard Zsigmondy,1925,1902,1902,23,23,https://www.nobelprize.org/images/zsigmondy-12938-portrait-small.jpg
20153,"svedberg, t",The Svedberg,1926,1924,1923,2,3,https://www.nobelprize.org/images/svedberg-12944-portrait-small.jpg
20152,"wieland, h",Heinrich Wieland,1927,1922,1922,5,5,https://www.nobelprize.org/images/wieland-12950-portrait-small.jpg
20151,"windaus, a",Adolf Windaus,1928,1924,1924,4,4,https://www.nobelprize.org/images/windaus-12957-portrait-small.jpg
20149,"harden, a",Arthur Harden,1929,1906,1902,23,27,https://www.nobelprize.org/images/harden-12962-portrait-small.jpg
20150,"von euler, h",Hans von Euler-Chelpin,1929,1926,1926,3,3,https://www.nobelprize.org/images/euler-chelpin-12961-portrait-small.jpg
20148,"fischer, h",Hans Fischer,1930,1894,1894,36,36,https://www.nobelprize.org/images/fischer-12968-portrait-small.jpg
20146,carl bosch,Carl Bosch,1931,1913,1913,18,18,https://www.nobelprize.org/images/bosch-12974-portrait-small.jpg
20145,"langmuir, i",Irving Langmuir,1932,1918,1906,14,26,https://www.nobelprize.org/images/langmuir-12979-portrait-small.jpg
20144,"urey, h",Harold C. Urey,1934,1932,1923,2,11,https://www.nobelprize.org/images/urey-12989-portrait-small.jpg
20142,"joliot, f",Frédéric Joliot,1935,1934,1931,1,4,https://www.nobelprize.org/images/joliot-fred-12996-portrait-small.jpg
20143,"curie, i",Irène Joliot-Curie,1935,1934,1923,1,12,https://www.nobelprize.org/images/joliot-curie-12995-portrait-small.jpg
20141,"debye, p",Peter Debye,1936,1912,1909,24,27,https://www.nobelprize.org/images/debye-13000-portrait-small.jpg
20139,"haworth, w",Norman Haworth,1937,1928,1908,9,29,https://www.nobelprize.org/images/haworth-13007-portrait-small.jpg
